Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Cura_MakeAppointment_002_Jenkins,Firefox 122.0,,,05-02-2024 08:53:01,05-02-2024 08:53:37,36.704s,PASSED
,,,,,,,
Test Cases/TC_Cura_MakeAppointment_002,Firefox 122.0,record and play mode make appointment tc_002,,05-02-2024 08:53:02,05-02-2024 08:53:37,35.905s,PASSED
Start listener action : Login,Firefox 122.0,,,05-02-2024 08:53:02,05-02-2024 08:53:04,2.003s,ERROR
openBrowser(null),Firefox 122.0,,,05-02-2024 08:53:04,05-02-2024 08:53:18,13.716s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 122.0,,,05-02-2024 08:53:18,05-02-2024 08:53:23,5.513s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Firefox 122.0,,,05-02-2024 08:53:23,05-02-2024 08:53:25,2.210s,PASSED
"setText(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Firefox 122.0,,,05-02-2024 08:53:25,05-02-2024 08:53:27,1.118s,PASSED
"setEncryptedText(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 122.0,,,05-02-2024 08:53:27,05-02-2024 08:53:27,0.515s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 122.0,,,05-02-2024 08:53:27,05-02-2024 08:53:28,1.000s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center     Hongkong CURA Healthcare Center  Seoul CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", false, 0)",Firefox 122.0,,,05-02-2024 08:53:28,05-02-2024 08:53:29,0.798s,PASSED
"selectOptionByValue(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center     Hongkong CURA Healthcare Center  Seoul CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Firefox 122.0,,,05-02-2024 08:53:29,05-02-2024 08:53:30,1.256s,PASSED
"verifyElementNotChecked(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""), 0)",Firefox 122.0,,,05-02-2024 08:53:30,05-02-2024 08:53:30,0.355s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Firefox 122.0,,,05-02-2024 08:53:30,05-02-2024 08:53:31,0.561s,PASSED
"verifyElementChecked(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""), 0)",Firefox 122.0,,,05-02-2024 08:53:31,05-02-2024 08:53:31,0.355s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/label_Medicare""))",Firefox 122.0,,,05-02-2024 08:53:31,05-02-2024 08:53:32,0.550s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Firefox 122.0,,,05-02-2024 08:53:32,05-02-2024 08:53:33,0.615s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/td_17""))",Firefox 122.0,,,05-02-2024 08:53:33,05-02-2024 08:53:33,0.565s,PASSED
"setText(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Make Appointment TC_002"")",Firefox 122.0,,,05-02-2024 08:53:33,05-02-2024 08:53:34,0.650s,PASSED
"click(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Firefox 122.0,,,05-02-2024 08:53:34,05-02-2024 08:53:35,0.805s,PASSED
"verifyElementPresent(findTestObject(""Cura_MakeAppointment_OR/Page_CURA Healthcare Service/h2_Appointment Confirmation""), 0)",Firefox 122.0,,,05-02-2024 08:53:35,05-02-2024 08:53:35,0.451s,PASSED
"verifyTextPresent(""Please be informed that your appointment has been booked as following:"", false)",Firefox 122.0,,,05-02-2024 08:53:35,05-02-2024 08:53:35,0.369s,PASSED
closeBrowser(),Firefox 122.0,,,05-02-2024 08:53:35,05-02-2024 08:53:37,1.868s,PASSED
Start listener action : logout,Firefox 122.0,,,05-02-2024 08:53:37,05-02-2024 08:53:37,0.172s,ERROR
